ident;dt_adhesion;nb_cart_2005m1;nb_cart_2005m2;nb_cart_2005m3;nb_cart_2005m4;nb_cart_2005m5;nb_cart_2005m6;nb_cart_2005m7;nb_cart_2005m8;nb_cart_2005m9;nb_cart_2005m10;nb_cart_2005m11;nb_cart_2005m12;montant_2005m1;montant_2005m2;montant_2005m3;montant_2005m4;montant_2005m5;montant_2005m6;montant_2005m7;montant_2005m8;montant_2005m9;montant_2005m10;montant_2005m11;montant_2005m12;nb_cart_2006m1;nb_cart_2006m2;nb_cart_2006m3;nb_cart_2006m4;nb_cart_2006m5;nb_cart_2006m6;nb_cart_2006m7;nb_cart_2006m8;nb_cart_2006m9;nb_cart_2006m10;nb_cart_2006m11;nb_cart_2006m12;montant_2006m1;montant_2006m2;montant_2006m3;montant_2006m4;montant_2006m5;montant_2006m6;montant_2006m7;montant_2006m8;montant_2006m9;montant_2006m10;montant_2006m11;montant_2006m12;nb_cart_2007m1;nb_cart_2007m2;nb_cart_2007m3;nb_cart_2007m4;nb_cart_2007m5;nb_cart_2007m6;nb_cart_2007m7;nb_cart_2007m8;nb_cart_2007m9;nb_cart_2007m10;nb_cart_2007m11;nb_cart_2007m12;montant_2007m1;montant_2007m2;montant_2007m3;montant_2007m4;montant_2007m5;montant_2007m6;montant_2007m7;montant_2007m8;montant_2007m9;montant_2007m10;montant_2007m11;montant_2007m12;sexe;IDF;age
651839;17DEC2004;0;100;0;200;0;300;0;0;200;0;200;0;0;29.9;0;63.2;0;94.4;0;0;62.8;0;62.8;0;200;0;200;200;0;200;0;0;200;200;0;250;63;0;62.8;62.8;0;62.4;0;0;62.4;62.8;0;79.7;0;200;0;200;0;200;0;200;0;0;200;0;0;62.4;0;62.4;0;62.4;0;62.4;0;0;62.4;0;1;1;42
651842;17DEC2004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;28
651881;17DEC2004;310;0;120;0;300;0;0;0;100;0;0;120;90.5;0;37.8;0;93;0;0;0;31;0;0;37.2;0;120;0;0;0;0;250;0;0;250;0;0;0;37.2;0;0;0;0;77.5;0;0;77.7;0;0;0;0;0;170;0;0;120;0;0;0;130;0;0;0;0;52.9;0;0;38.6;0;0;0;41.5;0;0;0;34
651895;17DEC2004;0;0;50;0;0;0;0;0;100;0;0;0;0;0;14.5;0;0;0;0;0;31.2;0;0;0;50;100;0;0;0;0;100;0;0;0;0;100;15.5;31.2;0;0;0;0;31.4;0;0;0;0;31.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;30
651914;17DEC2004;0;0;70;110;0;0;0;0;0;0;0;0;0;0;20.3;34.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;33
651927;17DEC2004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;70;0;0;0;0;0;0;0;15.7;0;0;0;22.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;19
651950;17DEC2004;50;0;120;0;0;160;0;160;0;0;0;0;15.1;0;37.6;0;0;50;0;49.6;0;0;0;0;120;0;0;0;0;0;0;140;0;0;0;200;37.6;0;0;0;0;0;0;43.4;0;0;0;62;0;0;150;0;0;0;0;0;200;0;0;200;0;0;47.5;0;0;0;0;0;63.2;0;0;63.2;1;0;22
651987;17DEC2004;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;50;0;0;0;0;0;0;80;0;0;120;0;15.7;0;0;0;0;0;0;25.4;0;0;38.8;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;62;0;0;0;0;0;0;0;1;1;21
652019;17DEC2004;0;0;0;70;0;100;0;0;100;0;80;0;0;0;0;22.1;0;32;0;0;31.4;0;25.2;0;130;110;0;0;170;0;0;110;0;0;0;0;41.1;34.9;0;0;54.1;0;0;35.1;0;0;0;0;80;0;0;0;0;80;0;0;60;0;100;0;25.2;0;0;0;0;25.2;0;0;19;0;31.6;0;1;0;23
652023;17DEC2004;0;200;0;0;0;200;0;0;0;0;0;200;0;59.5;0;0;0;62;0;0;0;0;0;62;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;62.6;0;0;0;170;0;0;0;0;0;0;0;0;0;0;0;52.7;0;0;0;0;0;0;0;0;0;0;1;1;20
